THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
MARVIN GAYE                                                  |SEXUAL HEALING
K.C. & THE SUNSHINE BAND                                     |THAT'S THE WAY (I LIKE IT)
MICHAEL JACKSON                                              |DON'T STOP 'TIL YOU GET ENOUGH
CHERYL LYNN                                                  |GOT TO BE REAL
RICK JAMES                                                   |SUPER FREAK
KOOL & THE GANG                                              |GET DOWN ON IT
BEE GEES                                                     |STAYIN' ALIVE
EARTH, WIND & FIRE                                           |MEGAMIX (RADIO EDIT)
MICHAEL JACKSON                                              |BILLIE JEAN
BEE GEES                                                     |NIGHT FEVER
MARVIN GAYE                                                  |LET'S GET IT ON
CHIC                                                         |LE FREAK
K.C. & THE SUNSHINE BAND                                     |GET DOWN TONIGHT
EARTH, WIND & FIRE                                           |SHINING STAR
LIPPS INC.                                                   |FUNKYTOWN
COMMODORES                                                   |BRICK HOUSE
EARTH, WIND & FIRE                                           |LET'S GROOVE
CARL CARLTON                                                 |SHE'S A BAD MAMA JAMA (SHE'S BUILT, SHE'S STACKED)
PEACHES & HERB                                               |SHAKE YOUR GROOVE THING
EARTH, WIND & FIRE                                           |SEPTEMBER
MARVIN GAYE                                                  |GOT TO GIVE IT UP
BARRY WHITE                                                  |CAN'T GET ENOUGH OF YOUR LOVE, BABE
K.C. & THE SUNSHINE BAND                                     |THAT'S THE WAY I LIKE IT
PASSION PIT                                                  |TAKE A WALK
PHOENIX                                                      |LASSO
PASSION PIT                                                  |LITTLE SECRETS
MIIKE SNOW                                                   |BURIAL
VAMPIRE WEEKEND                                              |A PUNK
MGMT                                                         |ELECTRIC FEEL
M83                                                          |MIDNIGHT CITY
EMPIRE OF THE SUN                                            |WALKING ON A DREAM
PETER BJORN AND JOHN                                         |YOUNG FOLKS
PASSION PIT                                                  |SLEEPYHEAD
TWO DOOR CINEMA CLUB                                         |SOMETHING GOOD CAN WORK
MATT AND KIM                                                 |DAYLIGHT
PHANTOGRAM                                                   |WHEN I'M SMALL
PIXIES                                                       |WHERE IS MY MIND?
STRFKR                                                       |RAWNALD GREGORY ERICKSON THE SECOND
MIIKE SNOW                                                   |ANIMAL
MIIKE SNOW                                                   |CULT LOGIC
THE VIRGINS                                                  |RICH GIRLS
COLD WAR KIDS                                                |HANG ME UP TO DRY
MIIKE SNOW                                                   |BLACK & BLUE
ADAM K & SOHA                                                |NEED TO FEEL LOVED
THE DOWNTOWN FICTION                                         |I JUST WANNA RUN
KANYE WEST                                                   |STRONGER
FIVE FOR FIGHTING                                            |SUPERMAN (IT'S NOT EASY)
USHER                                                        |YEAH!
FLO RIDA                                                     |GDFR (FEAT. SAGE THE GEMINI & LOOKAS) (K. THEORY REMIX)
MAROON 5                                                     |SHE WILL BE LOVED
TRAIN                                                        |HEY, SOUL SISTER
MAROON 5                                                     |ANIMALS (REMIX) (FEAT. J. COLE)
LADY GAGA                                                    |JUST DANCE
EMINEM                                                       |THE MONSTER (FEAT. RIHANNA)
DAVID GUETTA                                                 |WHO'S THAT CHICK?
MARK RONSON                                                  |UPTOWN FUNK (FEAT. BRUNO MARS)
DAVID GUETTA                                                 |HEY MAMA (FEAT. NICKI MINAJ, BEBE REXHA & AFROJACK)
RIHANNA                                                      |ONLY GIRL (IN THE WORLD)
KESHA                                                        |TIK TOK
DAVID GUETTA                                                 |WHERE THEM GIRLS AT (FEAT. NICKI MINAJ & FLO RIDA
NICKI MINAJ                                                  |STARSHIPS
DAVID GUETTA & USHER                                         |WITHOUT YOU
USHER                                                        |OMG
RIHANNA                                                      |DISTURBIA
KESHA                                                        |BLOW
KESHA                                                        |TAKE IT OFF (BILLBOARD REMIX)
KESHA                                                        |TAKE IT OFF
ENRIQUE IGLESIAS                                             |TONIGHT (I'M LOVIN' YOU)
MAROON 5 & CHRISTINA AGUILERA                                |MOVES LIKE JAGGER
MIKE POSNER                                                  |COOLER THAN ME
FLO RIDA                                                     |RIGHT ROUND
SEAN PAUL                                                    |TEMPERATURE
ONEREPUBLIC                                                  |FEEL AGAIN
KESHA                                                        |DIE YOUNG
LADY GAGA                                                    |POKER FACE
RIHANNA                                                      |S&M
KESHA                                                        |WE R WHO WE R
SWEDISH HOUSE MAFIA                                          |GREYHOUND
DIRTY SOUTH & ALESSO                                         |CITY OF DREAMS (RADIO EDIT)
ELLIE GOULDING                                               |BURN
SWEDISH HOUSE MAFIA                                          |SAVE THE WORLD (EXTENDED MIX)
DIMITRI VEGAS, MOGUAI & LIKE MIKE                            |MAMMOTH (RADIO EDIT)
SHOWTEK & NOISECONTROLLERS                                   |GET LOOSE (TIESTO REMIX)
MARTIN SOLVEIG                                               |THE NIGHT OUT (SINGLE VERSION)
DIMITRI VEGAS, MOGUAI & LIKE MIKE                            |MAMMOTH
MARTIN SOLVEIG                                               |THE NIGHT OUT (A-TRAK REMIX)
BENNY BENASSI                                                |CLOSE TO ME (FEAT. GARY GO)
AVICII                                                       |SILHOUETTES (SYN COLE CREAMFIELDS MIX)
SWEDISH HOUSE MAFIA                                          |SAVE THE WORLD (AN21 & MAX VANGELI REMIX)
MARTIN SOLVEIG                                               |THE NIGHT OUT (A-TRAK VS. MARTIN REWORK)
DEADMAU5                                                     |ANIMAL RIGHTS
YEAH YEAH YEAHS                                              |HEADS WILL ROLL (A-TRAK DUB MIX)
TIËSTO                                                       |I WILL BE HERE (TIESTO REMIX)
DJ MISS T & YAKEL                                            |SKYWALKER (DJ MIX)
DAFT PUNK                                                    |AROUND THE WORLD/HARDER BETTER FASTER STRONGER (LIVE)
DEADMAU5 & KASKADE                                           |I REMEMBER
DJ ANTOINE                                                   |THIS TIME (KLAAS REMIX)
KASKADE                                                      |FIRE IN YOUR NEW SHOES (SULTAN & NED SHEPARD'S ELECTRIC DAISY REMIX)
ONEREPUBLIC & ALESSO                                         |IF I LOSE MYSELF (ALESSO VS ONEREPUBLIC)
ZEDD                                                         |CLARITY (STYLE OF EYE REMIX)
DAVID GUETTA & CHRIS WILLIS                                  |TOMORROW CAN WAIT (TOCADISCO EVIL MIX)
CALVIN HARRIS                                                |FEEL SO CLOSE (BENNY BENASSI REMIX)
THE WANTED                                                   |CHASING THE SUN (TANTRUM DESIRE HARD MIX)
DAFT PUNK                                                    |AROUND THE WORLD
DAVE SPOON                                                   |AT NIGHT
ALEXANDRA STAN                                               |MR. SAXOBEAT
SEBASTIAN INGROSSO, ALESSO & RYAN TEDDER                     |CALLING (LOSE MY MIND) (EXTENDED CLUB MIX)
SWEDISH HOUSE MAFIA                                          |ONE (YOUR NAME) (VOCAL MIX)
DAVID GUETTA                                                 |MEMORIES (EXTENDED)
SWEDISH HOUSE MAFIA                                          |SAVE THE WORLD (RADIO MIX)
ZEDD                                                         |SPECTRUM (EXTENDED MIX)
BENNY BENASSI                                                |COME FLY AWAY
SEBASTIAN INGROSSO & ALESSO                                  |CALLING (LOSE MY MIND) (RADIO EDIT)
BENNY BENASSI                                                |CINEMA (FEAT. GARY GO) (SKRILLEX RADIO EDIT)
PPK                                                          |RESURECTION (ROBOTS OUTRO)
DIRTY SOUTH & ALESSO                                         |CITY OF DREAMS
AVICII                                                       |SILHOUETTES
AVICII                                                       |LEVELS (CAZZETTE'S NYC MODE MIX)
SWEDISH HOUSE MAFIA                                          |ONE
GOODWILL & HOOK N SLING                                      |TAKE YOU HIGHER (RADIO EDIT)
AFROJACK                                                     |TAKE OVER CONTROL (EXTENDED)
AFROJACK                                                     |REPLICA (ORIGINAL MIX)
ZEDD                                                         |SPECTRUM
ALEX KENJI, STARKILLERS & NADIA ALI                          |PRESSURE (ALESSO REMIX)
KASKADE                                                      |FIRE IN YOUR NEW SHOES (SULTAN AND NED SHEPARD MIX)
TIËSTO                                                       |THEME FROM NOREFJELL (DJ JAN AND CHRISTOPHE CHANTZIS MIX)
NERO                                                         |PROMISES (SKRILLEX & NERO REMIX)
STEVE AOKI                                                   |COME WITH ME (DEADMEAT) (DEORRO REMIX)
KID CUDI                                                     |DAY 'N' NITE
YEAH YEAH YEAHS                                              |HEADS WILL ROLL
DEADMAU5                                                     |ARGURU
AVICII                                                       |FADE INTO DARKNESS (VOCAL RADIO MIX)
CALVIN HARRIS                                                |FLASHBACK
AVICII                                                       |FADE INTO DARKNESS (VOCAL CLUB MIX)
4 CLUBBERS                                                   |CHILDREN
CALVIN HARRIS                                                |FLASHBACK (RADIO EDIT)
ZEDD                                                         |FOLLOW YOU DOWN
ULTRA DJ'S                                                   |ME & U
CHRIS BROWN                                                  |BEAUTIFUL PEOPLE (FEAT. BENNY BENASSI)
AFROJACK & SHERMANOLOGY                                      |CAN'T STOP ME (RADIO EDIT)
GOODWILL & HOOK N SLING                                      |TAKE YOU HIGHER (CLUB MIX)
DEADMAU5                                                     |NOT EXACTLY
CALVIN HARRIS                                                |FEEL SO CLOSE
YEAH YEAH YEAHS                                              |HEADS WILL ROLL (A-TRAK REMIX)
KASKADE                                                      |TURN IT DOWN (LE CASTLE VANIA REMIX)
CALVIN HARRIS                                                |I NEED YOUR LOVE (FEAT. ELLIE GOULDING)
ZEDD                                                         |CLARITY (TIESTO REMIX)
CALVIN HARRIS                                                |YOU USED TO HOLD ME
AFROJACK                                                     |TAKE OVER CONTROL
KASKADE                                                      |TURN IT DOWN
TIËSTO                                                       |I WILL BE HERE (WOLFGANG GARTNER REMIX)
THE WANTED                                                   |GLAD YOU CAME (BASSJACKERS REMIX EDIT)
IVAN GOUGH & FEENIXPAWL                                      |IN MY MIND (AXWELL MIX)
DAFT PUNK                                                    |ONE MORE TIME
KYLE DIXON & MICHAEL STEIN                                   |KIDS TWO
RETROVISION                                                  |HEROES
DAFT PUNK                                                    |HARDER, BETTER, FASTER, STRONGER
ENUR                                                         |CALABRIA 2007 (CLUB MIX)
O-ZONE                                                       |DRAGOSTEA DIN TEI (ORIGINAL ROMANIAN VERSION)
ENUR                                                         |CALABRIA 2007 (RADIO EDIT)
FOGGY                                                        |COME... (INTO MY DREAM)
DJ SAMMY & YANOU                                             |HEAVEN
TIMBALAND                                                    |THE WAY I ARE
NICKI MINAJ                                                  |TURN ME ON
COBRA STARSHIP                                               |#1NITE
DARUDE                                                       |FEEL THE BEAT
AVICII                                                       |LEVELS
EDWARD MAYA & VIKA JIGULINA                                  |STEREO LOVE
ENUR                                                         |CALABRIA
EIFFEL 65                                                    |BLUE (DA BA DEE)
HAVANA BROWN                                                 |WE RUN THE NIGHT
TIËSTO                                                       |SANCTIFICUM
SEPTEMBER                                                    |CRY FOR YOU (RADIO MIX)
DAVID GUETTA                                                 |TURN ME ON (FEAT. NICKI MINAJ)
TAIO CRUZ                                                    |DYNAMITE
WILL.I.AM                                                    |SCREAM & SHOUT
SWEDISH HOUSE MAFIA                                          |DON'T YOU WORRY CHILD (RADIO EDIT)
BASSHUNTER                                                   |NOW YOU'RE GONE
DAVID GUETTA                                                 |PLAY HARD
BASSHUNTER                                                   |DOTA
USHER                                                        |MORE (REDONE JIMMY JOKER REMIX)
USHER                                                        |SCREAM
COBRA STARSHIP                                               |YOU MAKE ME FEEL...
D.H.T.                                                       |LISTEN TO YOUR HEART
ENUR                                                         |CALABRIA 2007 (MIMS REMIX)
DAVID GUETTA                                                 |WHERE THEM GIRLS AT
ALICE DEEJAY                                                 |BETTER OFF ALONE
DARUDE                                                       |SANDSTORM
THE BIZ                                                      |SATISFACTION (GREECE DUB INSTRUMENTAL MIX)
BASSHUNTER                                                   |NOW YOU'RE GONE (RADIO EDIT)
THE WANTED                                                   |CHASING THE SUN (HARDWELL EDIT)
DJ SAMMY                                                     |HEAVEN
KESHA                                                        |BLOW (CIRKUT REMIX)
DAVID GUETTA                                                 |CRANK IT UP (FEAT. AKON)
DAVID GUETTA                                                 |SEXY BITCH
DAVID GUETTA                                                 |SEXY CHICK
THE WANTED                                                   |CHASING THE SUN
RIHANNA                                                      |DON'T STOP THE MUSIC
PITBULL                                                      |HEY BABY (DROP IT TO THE FLOOR)
USHER                                                        |DJ GOT US FALLIN' IN LOVE
ENUR                                                         |CALABRIA 2008
FAR EAST MOVEMENT                                            |LIKE A G6
DAVID GUETTA                                                 |MEMORIES
EDWARD MAYA & VIKA JIGULINA                                  |STEREO LOVE (DABO REMIX EDIT)
CASCADA                                                      |EVERYTIME WE TOUCH (VERANO EDIT)
TAIO CRUZ                                                    |BREAK YOUR HEART (FEAT. LUDACRIS)
KID CUDI                                                     |PURSUIT OF HAPPINESS (STEVE AOKI DANCE REMIX)
KREWELLA                                                     |KILLIN' IT
DEORRO                                                       |FIVE HOURS
SKRILLEX                                                     |BANGARANG
SKRILLEX                                                     |FIRST OF THE YEAR (EQUINOX)
DEADMAU5                                                     |GHOSTS 'N' STUFF
LINDSEY STIRLING                                             |CRYSTALLIZE
NIGHTCORE                                                    |MONSTER (DOTEXE REMIX)
BLACKMILL                                                    |THE DRIFT
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA)
CALVIN HARRIS                                                |SWEET NOTHING (FEAT. FLORENCE WELCH)
ADVENTURE CLUB                                               |NEED YOUR HEART
BENNY BENASSI                                                |CINEMA (FEAT. GARY GO) (SKRILLEX REMIX)
BLACKMILL                                                    |LET IT BE
IMAGINE DRAGONS                                              |BLEEDING OUT
BASSNECTAR                                                   |BASS HEAD
RUSKO                                                        |WOO BOOST
DEADMAU5 & KASKADE                                           |I REMEMBER (CASPA REMIX)
DJ FRESH (UK)                                                |GOLD DUST (FLUX PAVILION REMIX)
DEADMAU5                                                     |SOME CHORDS
KID SISTER                                                   |PRO NAILS (RUSKO REMIX)
SKRILLEX                                                     |KYOTO
STEVE AOKI                                                   |COME WITH ME (DEADMEAT) (ARKANGEL REMIX)
NERO                                                         |INNOCENCE
CALVIN HARRIS                                                |SWEET NOTHING (FEAT. FLORENCE WELCH) (DIPLO + GRANDTHEFT REMIX)
FLUX PAVILION                                                |I CAN'T STOP
BLUE FOUNDATION                                              |EYES ON FIRE (ZEDS DEAD REMIX)
SKRILLEX                                                     |SCARY MONSTERS AND NICE SPRITES
LA ROUX                                                      |IN FOR THE KILL (SKRILLEX REMIX)
FLIGHT FACILITIES                                            |CRAVE YOU (ADVENTURE CLUB DUBSTEP REMIX)
DEADMAU5                                                     |GHOSTS 'N' STUFF (RADIO EDIT)
NERO                                                         |MUST BE THE FEELING (FLUX PAVILION & NERO REMIX)
FLUX PAVILION                                                |GOT 2 KNOW
FREESTYLERS                                                  |CRACKS (FLUX PAVILION REMIX)
ELLIE GOULDING                                               |LIGHTS (BASSNECTAR REMIX)
AVICII                                                       |LEVELS (SKRILLEX REMIX)
GEMINI                                                       |BLUE
TOVE LO                                                      |HABITS (STAY HIGH) (HIPPIE SABOTAGE REMIX)
FLUX PAVILION                                                |I STILL CAN'T STOP
QUEEN                                                        |UNDER PRESSURE (FEAT. DAVID BOWIE)
FOREIGNER                                                    |I WANT TO KNOW WHAT LOVE IS
TEARS FOR FEARS                                              |EVERYBODY WANTS TO RULE THE WORLD (7" VERSION)
MEN WITHOUT HATS                                             |SAFETY DANCE
TALK TALK                                                    |IT'S MY LIFE
TOTO                                                         |AFRICA
A-HA                                                         |TAKE ON ME (2016)
FOREIGNER                                                    |I WANT TO KNOW WHAT LOVE IS (REMIX)
PHIL COLLINS                                                 |IN THE AIR TONIGHT
A-HA                                                         |TAKE ON ME (VIDEO VERSION)
A FLOCK OF SEAGULLS                                          |I RAN
A FLOCK OF SEAGULLS                                          |I RAN (SO FAR AWAY)
ELVIS COSTELLO                                               |PUMP IT UP (LIVE, 1978)
ELVIS COSTELLO                                               |PUMP IT UP
THE CURE                                                     |LOVE SONG (EXTENDED MIX)
SOFT CELL                                                    |TAINTED LOVE / WHERE DID OUR LOVE GO (EXTENDED VERSION)
SUM 41                                                       |FAT LIP
AMERICAN HI-FI                                               |FLAVOR OF THE WEAK
BLINK-182                                                    |I MISS YOU
SUM 41                                                       |IN TOO DEEP
FALL OUT BOY                                                 |DANCE, DANCE
RED HOT CHILI PEPPERS                                        |SNOW (HEY OH)
FRANZ FERDINAND                                              |TAKE ME OUT
THE ALL-AMERICAN REJECTS                                     |GIVES YOU HELL
THE KILLERS                                                  |SOMEBODY TOLD ME
PLAIN WHITE T'S                                              |HEY THERE DELILAH (STRINGS VERSION)
THE FRAY                                                     |YOU FOUND ME
COLDPLAY                                                     |CLOCKS
ONEREPUBLIC                                                  |SECRETS
THE FRAY                                                     |HOW TO SAVE A LIFE
GREEN DAY                                                    |WAKE ME UP WHEN SEPTEMBER ENDS
TAKING BACK SUNDAY                                           |TIMBERWOLVES AT NEW JERSEY
STATE CHAMPS                                                 |SECRETS
A DAY TO REMEMBER                                            |WE GOT THIS
YELLOWCARD                                                   |ONLY ONE
YELLOWCARD                                                   |OCEAN AVENUE
HAWTHORNE HEIGHTS                                            |OHIO IS FOR LOVERS
BLINK-182                                                    |MAN OVERBOARD
BLINK-182                                                    |GHOST ON THE DANCE FLOOR
SUGARCULT                                                    |BOUNCING OFF THE WALLS
PARAMORE                                                     |THAT'S WHAT YOU GET
BLINK-182                                                    |GOING AWAY TO COLLEGE
MXPX                                                         |PARTY, MY HOUSE, BE THERE
PANIC! AT THE DISCO                                          |I WRITE SINS NOT TRAGEDIES
LESS THAN JAKE                                               |SURRENDER
BOYS LIKE GIRLS                                              |THE GREAT ESCAPE
FALL OUT BOY                                                 |THIS AIN'T A SCENE, IT'S AN ARMS RACE
SR-71                                                        |RIGHT NOW
NEW FOUND GLORY                                              |VICIOUS LOVE
NEW FOUND GLORY                                              |THE KING OF WISHFUL THINKING
STORY OF THE YEAR                                            |UNTIL THE DAY I DIE
IMAGINE DRAGONS                                              |IT'S TIME
THE POLICE                                                   |ROXANNE
BARENAKED LADIES                                             |PINCH ME
VIOLENT FEMMES                                               |BLISTER IN THE SUN
SANTANA                                                      |SMOOTH
RED HOT CHILI PEPPERS                                        |DANI CALIFORNIA
BOB MARLEY                                                   |JAMMING
QUEEN                                                        |UNDER PRESSURE
TALKING HEADS                                                |ONCE IN A LIFETIME
DNA (UK)                                                     |TOM'S DINER
BOB MARLEY                                                   |THREE LITTLE BIRDS
KT TUNSTALL                                                  |SUDDENLY I SEE
RUSTED ROOT                                                  |SEND ME ON MY WAY
THE POLICE                                                   |MESSAGE IN A BOTTLE
KINGS OF LEON                                                |SEX ON FIRE
RED HOT CHILI PEPPERS                                        |THE ADVENTURES OF RAIN DANCE MAGGIE
RED HOT CHILI PEPPERS                                        |UNDER THE BRIDGE
STEVIE WONDER                                                |SUPERSTITION
LOS LONELY BOYS                                              |HEAVEN
PETE TOWNSHEND                                               |LET MY LOVE OPEN THE DOOR
WALK OFF THE EARTH                                           |RED HANDS
NEW RADICALS                                                 |YOU GET WHAT YOU GIVE
FAMILY OF THE YEAR                                           |HERO
NATHANIEL RATELIFF & THE NIGHT SWEATS                        |HEY MAMA
JOSEPH                                                       |WHITE FLAG
TRAIN                                                        |MEET VIRGINIA
PORTUGAL. THE MAN                                            |LIVE IN THE MOMENT
X AMBASSADORS                                                |RENEGADES
RED HOT CHILI PEPPERS                                        |OTHERSIDE
BECK                                                         |LOSER
LIVE                                                         |LIGHTNING CRASHES
THE CURE                                                     |JUST LIKE HEAVEN
FITZ & THE TANTRUMS                                          |OUT OF MY LEAGUE
COLD WAR KIDS                                                |SO TIED UP (MOREBISHOP) (FEAT. BISHOP BRIGGS)
THE POLICE                                                   |DON'T STAND SO CLOSE TO ME
MANCHESTER ORCHESTRA                                         |THE GOLD
FLORENCE + THE MACHINE                                       |SHIP TO WRECK
CAGE THE ELEPHANT                                            |WHOLE WIDE WORLD (UNPEELED)
BILLY RAFFOUL                                                |DRIVER
ALT-J                                                        |IN COLD BLOOD
DEATH CAB FOR CUTIE                                          |BLACK SUN
COLDPLAY                                                     |ADVENTURE OF A LIFETIME
QUEEN                                                        |CRAZY LITTLE THING CALLED LOVE
TEARS FOR FEARS                                              |SHOUT
GENESIS                                                      |THAT'S ALL
BILLY IDOL                                                   |REBEL YELL
BILLY JOEL                                                   |IT'S STILL ROCK AND ROLL TO ME
MEN WITHOUT HATS                                             |THE SAFETY DANCE (EXTENDED VERSION)
TEARS FOR FEARS                                              |HEAD OVER HEELS
THE POLICE                                                   |EVERY BREATH YOU TAKE
SOFT CELL                                                    |WHERE DID OUR LOVE GO?
EDDY GRANT                                                   |ELECTRIC AVENUE
MODERN ENGLISH                                               |I MELT WITH YOU
BILLY IDOL                                                   |WHITE WEDDING
DEXYS MIDNIGHT RUNNERS                                       |COME ON EILEEN
CYNDI LAUPER                                                 |TIME AFTER TIME
BILLY IDOL                                                   |DANCING WITH MYSELF
THE HUMAN LEAGUE                                             |DON'T YOU WANT ME
THE PROCLAIMERS                                              |I'M GONNA BE (500 MILES)
MEN WITHOUT HATS                                             |THE SAFETY DANCE
A-HA                                                         |TAKE ON ME (EXTENDED VERSION)
GENERATION X                                                 |DANCING WITH MYSELF
WHEN IN ROME                                                 |THE PROMISE
MEN AT WORK                                                  |WHO CAN IT BE NOW?
DEAD OR ALIVE                                                |YOU SPIN ME ROUND (LIKE A RECORD) (1985)
THE ROMANTICS                                                |TALKING IN YOUR SLEEP
THE REVIVALISTS                                              |WISH I KNEW YOU
COLD WAR KIDS                                                |FIRST
MILKY CHANCE                                                 |STOLEN DANCE
THE STRUTS                                                   |ONE NIGHT ONLY
CAGE THE ELEPHANT                                            |AIN'T NO REST FOR THE WICKED
THE LUMINEERS                                                |OPHELIA
TWENTY ONE PILOTS                                            |RIDE
THE KILLERS                                                  |MR. BRIGHTSIDE
ELLE KING                                                    |EX'S AND OH'S
TWENTY ONE PILOTS                                            |HEATHENS
ALICE IN CHAINS                                              |MAN IN THE BOX
BROKEN BELLS                                                 |HOLDING ON FOR LIFE
THE LUMINEERS                                                |HO HEY
THE BLACK KEYS                                               |TIGHTEN UP
OF MONSTERS AND MEN                                          |MOUNTAIN SOUND
COLDPLAY                                                     |PARADISE
THE LUMINEERS                                                |STUBBORN LOVE
GROUPLOVE                                                    |TONGUE TIED
MUMFORD & SONS                                               |I WILL WAIT
OF MONSTERS AND MEN                                          |KING AND LIONHEART
THE BLACK KEYS                                               |GOLD ON THE CEILING
THE BLACK KEYS                                               |LONELY BOY
ALEX CLARE                                                   |TOO CLOSE
FOO FIGHTERS                                                 |ROPE
MUSE                                                         |THOUGHT CONTAGION
TWENTY ONE PILOTS                                            |CHLORINE
MARSHMELLO & BASTILLE                                        |HAPPIER
AJR                                                          |SOBER UP (FEAT. RIVERS CUOMO)
BECK                                                         |UP ALL NIGHT
FOO FIGHTERS                                                 |THE SKY IS A NEIGHBORHOOD
VANCE JOY                                                    |LAY IT ON ME
ALICE MERTON                                                 |NO ROOTS
DIRTY HEADS                                                  |VACATION
X AMBASSADORS                                                |AHEAD OF MYSELF
SLEEPING WITH SIRENS                                         |LEGENDS
WEEZER                                                       |FEELS LIKE SUMMER
KONGOS                                                       |COME WITH ME NOW
BLINK-182                                                    |SHE'S OUT OF HER MIND
THE STRUMBELLAS                                              |SPIRITS
KALEO                                                        |WAY DOWN WE GO
DIDO                                                         |THANK YOU
THE GOO GOO DOLLS                                            |SLIDE
BARENAKED LADIES                                             |ONE WEEK
NIRVANA                                                      |HEART-SHAPED BOX
THIRD EYE BLIND                                              |NEVER LET YOU GO
THIRD EYE BLIND                                              |SEMI-CHARMED LIFE
MATCHBOX TWENTY                                              |3:00 AM
THE WALLFLOWERS                                              |ONE HEADLIGHT
SUGAR RAY                                                    |FLY
SEMISONIC                                                    |CLOSING TIME
SUGAR RAY                                                    |EVERY MORNING
TAL BACHMAN                                                  |SHE'S SO HIGH
EVE 6                                                        |INSIDE OUT
LIT (ROCK)                                                   |MY OWN WORST ENEMY
EAGLE-EYE CHERRY                                             |SAVE TONIGHT
BLUES TRAVELER                                               |RUN-AROUND
BLIND MELON                                                  |NO RAIN
COUNTING CROWS                                               |MR. JONES
BLINK-182                                                    |ALL THE SMALL THINGS
THE GOO GOO DOLLS                                            |IRIS
EVERLAST                                                     |WHAT IT'S LIKE
WEEZER                                                       |SAY IT AIN'T SO
SUBLIME                                                      |WHAT I GOT
SUBLIME                                                      |SANTERIA
FOO FIGHTERS                                                 |LEARN TO FLY
TONIC                                                        |IF YOU COULD ONLY SEE
INCUBUS                                                      |DRIVE
FOO FIGHTERS                                                 |EVERLONG
NIRVANA                                                      |COME AS YOU ARE
RADIOHEAD                                                    |CREEP
RED HOT CHILI PEPPERS                                        |CALIFORNICATION
SMASHING PUMPKINS                                            |1979
NIRVANA                                                      |ABOUT A GIRL (LIVE)
NIRVANA                                                      |IN BLOOM
SMASHING PUMPKINS                                            |TODAY
THE GOO GOO DOLLS                                            |BLACK BALLOON
SUBLIME                                                      |DOIN' TIME
NIRVANA                                                      |DUMB
MATCHBOX TWENTY                                              |REAL WORLD
DJ SNAKE                                                     |LET ME LOVE YOU (FEAT. JUSTIN BIEBER)
THE WEEKND                                                   |CAN'T FEEL MY FACE
THE WEEKND                                                   |STARBOY (FEAT. DAFT PUNK)
THE WEEKND                                                   |THE HILLS
CHILDISH GAMBINO                                             |REDBONE
SAGE THE GEMINI                                              |GAS PEDAL
B.O.B                                                        |HEADBAND
TREY SONGZ                                                   |2 REASONS
KIRKO BANGZ                                                  |DRANK IN MY CUP
CHRIS BROWN                                                  |LOVE MORE
DRAKE                                                        |THE MOTTO
FLO RIDA                                                     |GOOD FEELING
J. COLE                                                      |WORK OUT
YK OSIRIS                                                    |WORTH IT
ELLA MAI                                                     |TRIP
LIZZO                                                        |TRUTH HURTS
POLO G                                                       |POP OUT (FEAT. LIL TJAY)
HALSEY                                                       |BAD AT LOVE
LIL UZI VERT                                                 |THE WAY LIFE GOES
THE WEEKND                                                   |PARTY MONSTER
LIL PUMP                                                     |GUCCI GANG
THE WEEKND                                                   |DIE FOR YOU
N.E.R.D & RIHANNA                                            |LEMON
MIGUEL                                                       |SKY WALKER (FEAT. TRAVIS SCOTT)
MAROON 5                                                     |WHAT LOVERS DO (FEAT. SZA)
CARDI B                                                      |BODAK YELLOW
YO GOTTI                                                     |RAKE IT UP (FEAT. NICKI MINAJ)
GUCCI MANE                                                   |I GET THE BAG (FEAT. MIGOS)
TRAVIS SCOTT                                                 |BUTTERFLY EFFECT
TRAVIS SCOTT                                                 |GOOSEBUMPS (FEAT. KENDRICK LAMAR)
TY DOLLA $IGN                                                |LOVE U BETTER (FEAT. LIL WAYNE & THE-DREAM)
21 SAVAGE                                                    |BANK ACCOUNT
G-EAZY                                                       |NO LIMIT (FEAT. A$AP ROCKY & CARDI B)
DJ KHALED                                                    |I'M THE ONE (FEAT. JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER & LIL WAYNE)
RAE SREMMURD                                                 |BLACK BEATLES (FEAT. GUCCI MANE)
DJ KHALED                                                    |DO YOU MIND (FEAT. NICKI MINAJ, CHRIS BROWN, AUGUST ALSINA, JEREMIH, FUTURE & RICK ROSS)
KYLE                                                         |ISPY (FEAT. LIL YACHTY)
SZA                                                          |LOVE GALORE (FEAT. TRAVIS SCOTT)
JEREMIH                                                      |OUI
LOGIC                                                        |1-800-273-8255 (FEAT. ALESSIA CARA & KHALID)
KENT JONES                                                   |DON'T MIND
BRUNO MARS                                                   |24K MAGIC
DRAKE                                                        |SIGNS
POST MALONE                                                  |CONGRATULATIONS (FEAT. QUAVO)
DRAKE                                                        |CONTROLLA
THE STROKES                                                  |LAST NITE
GORILLAZ                                                     |FEEL GOOD INC.
TWO DOOR CINEMA CLUB                                         |WHAT YOU KNOW
MODEST MOUSE                                                 |BUKOWSKI
TOM PETTY                                                    |YOU DON'T KNOW HOW IT FEELS
TOM PETTY                                                    |RUNNIN' DOWN A DREAM
PHOENIX                                                      |1901
MODEST MOUSE                                                 |DARK CENTER OF THE UNIVERSE
MODEST MOUSE                                                 |SATIN IN A COFFIN
