T-PAIN                                                       |I'M SPRUNG
BILLY PRESTON                                                |MY SWEET LORD (LIVE)
AMP (CCM)                                                    |IN YOUR HANDS
GEORGE HARRISON                                              |WHAT IS LIFE
ANBERLIN                                                     |PAPERTHIN HYMN
RIHANNA                                                      |TAKE A BOW
PHARRELL WILLIAMS                                            |HAPPY
USHER                                                        |MY BOO
DESTINY'S CHILD                                              |SAY MY NAME
NICKELBACK                                                   |NEVER GONNA BE ALONE
EVANESCENCE                                                  |SWEET SACRIFICE
OCEANLAB                                                     |LONELY GIRL
ROYAL BLOOD (ROCK)                                           |FIGURE IT OUT
OPETH                                                        |I FEEL THE DARK
CHRIS BROWN                                                  |TURN UP THE MUSIC
GO PERISCOPE                                                 |TAKE IT PERSONAL
GOOD CHARLOTTE                                               |DANCE FLOOR ANTHEM (I DON'T WANT TO BE IN LOVE)
AKON                                                         |BABY I'M BACK (FEAT. BABY BASH)
SCANDAL                                                      |GOODBYE TO YOU
LA BOUCHE                                                    |BE MY LOVER (CLUB MIX)
AC/DC                                                        |GIMME A BULLET
FYTCH, CAPTAIN CRUNCH & CARMEN FORBES                        |RAINDROPS (RADIO EDIT)
THE GREEN                                                    |LOVE & AFFECTION (BILLY VAN REMIX)
2PAC                                                         |UNCONDITIONAL LOVE
RUDIMENTAL                                                   |NOT GIVING IN
DAVID LEE ROTH                                               |JUST A GIGOLO
WHITNEY HOUSTON                                              |I WANNA DANCE WITH SOMEBODY
P!NK                                                         |PLEASE DON'T LEAVE ME
GINUWINE                                                     |PONY (EXTENDED MIX)
NICKELBACK                                                   |IF TODAY WAS YOUR LAST DAY
HI_TACK                                                      |LET'S DANCE (DENNIS CHRISTOPHER MOJITO MIX)
D NUMBERS                                                    |XYLEM UP
CHEVELLE                                                     |JARS
JAY PARK                                                     |DRIVE (FEAT. GRAY)
NITRO FUN                                                    |NEW GAME
DIO                                                          |BREATHLESS
QUEENSRYCHE                                                  |SPEAK
PHILLIP PHILLIPS                                             |GONE, GONE, GONE
ROY ORBISON                                                  |ALL I HAVE TO DO IS DREAM
NEIL SEDAKA                                                  |CALENDAR GIRL
JUSTIN TIMBERLAKE                                            |ROCK YOUR BODY
MIMI & ANA GUERRA                                            |DON'T YOU WORRY `BOUT A THING
COLEMAN HELL                                                 |FIREPROOF
'WEIRD AL' YANKOVIC                                          |YOU MAKE ME
SAM COOKE                                                    |CHAIN GANG
NE-YO                                                        |SEXY LOVE
DIO                                                          |GUILTY
OTIS REDDING                                                 |PAIN IN MY HEART
HAROLD FALTERMEYER                                           |AXEL F
JORDIN SPARKS                                                |ONE STEP AT A TIME
THE MCCOYS                                                   |HANG ON SLOOPY
DAVE CLARK FIVE                                              |GLAD ALL OVER
BIG GIGANTIC                                                 |BLUE DREAM
J BALVIN & WILLY WILLIAM                                     |MI GENTE
JEAN ELAN                                                    |WHERE'S YOUR HEAD AT (KLAAS REMIX)
CALVIN HARRIS                                                |FAITH
HOOTIE & THE BLOWFISH                                        |TUCKER'S TOWN
GUMMIBÄR (CHILDREN'S)                                        |FUNNY DJ
